Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,283.390015,286.459991,283.160004,285.839996,281.492676,2417300
2023-04-04,284.440002,287.429993,284.220001,285.839996,281.492676,2331700
2023-04-05,286.239990,286.899994,280.910004,281.329987,277.051239,2443200
2023-04-06,280.660004,282.239990,278.859985,281.700012,277.415680,2125300
2023-04-10,277.989990,281.730011,276.359985,281.679993,277.395905,1575900
2023-04-11,283.010010,287.660004,282.549988,286.329987,281.975220,3122500
2023-04-12,288.390015,288.649994,282.940002,283.760010,280.541656,2656000
2023-04-13,283.000000,285.420013,279.720001,285.269989,282.034515,3164200
2023-04-14,283.290009,284.950012,277.779999,279.250000,276.082825,2871700
2023-04-17,278.779999,281.820007,278.779999,279.980011,276.804565,2899000
2023-04-18,281.359985,281.410004,278.410004,279.959991,276.784760,1893800
2023-04-19,278.799988,280.000000,277.510010,279.899994,276.725433,2204700
2023-04-20,277.279999,277.570007,274.000000,275.549988,272.424774,2686100
2023-04-21,275.730011,277.829987,275.399994,276.329987,273.195923,1600700
2023-04-24,275.799988,277.619995,274.859985,277.250000,274.105499,1359700
2023-04-25,275.859985,276.709991,270.589996,270.700012,267.629791,1935400
2023-04-26,271.850006,273.570007,270.200012,271.209991,268.133972,2009400
2023-04-27,273.850006,276.489990,270.829987,275.450012,272.325958,1983600
2023-04-28,273.720001,280.429993,273.720001,280.290009,277.111023,2084500
2023-05-01,279.089996,279.910004,277.450012,279.420013,276.250885,1165600
2023-05-02,279.859985,280.380005,274.029999,276.739990,273.601257,1728300
2023-05-03,278.119995,279.579987,274.820007,275.179993,272.058960,1951200
2023-05-04,273.279999,273.779999,265.679993,266.500000,263.477417,2586200
2023-05-05,269.220001,270.380005,264.390015,265.649994,262.637054,2592100
2023-05-08,266.019989,267.000000,263.459991,264.820007,261.816498,1843000
2023-05-09,262.950012,264.489990,261.679993,263.480011,260.491699,2712000
2023-05-10,265.850006,269.910004,264.420013,268.890015,265.840332,2800200
2023-05-11,270.309998,272.440002,268.179993,272.269989,269.181976,2915700
2023-05-12,273.130005,277.299988,272.500000,277.190002,274.046173,2664400
2023-05-15,276.309998,278.529999,274.619995,277.510010,274.362549,2762700
2023-05-16,277.089996,280.700012,276.359985,279.190002,276.023499,2079000
2023-05-17,281.190002,286.369995,280.230011,284.630005,281.401794,2486600
2023-05-18,284.540009,287.920013,284.260010,287.480011,284.219452,1869700
2023-05-19,288.600006,291.350006,287.350006,289.910004,286.621918,2213300
2023-05-22,289.369995,291.769989,288.869995,290.950012,287.650146,2044100
2023-05-23,289.160004,291.040009,287.119995,288.100006,284.832458,2219800
2023-05-24,286.029999,288.290009,284.899994,286.820007,283.566956,2815100
2023-05-25,288.510010,293.149994,285.179993,291.760010,288.450928,3689600
2023-05-26,294.000000,308.600006,293.640015,303.600006,300.156647,4578800
2023-05-30,306.209991,318.910004,305.000000,308.429993,304.931854,6238600
2023-05-31,304.679993,310.350006,303.000000,305.920013,302.450317,5270100
2023-06-01,305.730011,306.089996,300.089996,305.200012,301.738495,2393700
2023-06-02,307.500000,312.200012,306.619995,311.390015,307.858276,2272500
2023-06-05,305.339996,307.399994,301.890015,304.450012,300.997009,3008000
2023-06-06,302.880005,309.309998,301.760010,308.040009,304.546295,2419400
2023-06-07,309.480011,312.000000,307.160004,311.029999,307.502380,2490000
2023-06-08,310.869995,310.869995,306.709991,307.329987,303.844330,1870300
2023-06-09,309.130005,311.170013,306.640015,308.720001,305.218567,2202600
2023-06-12,307.829987,311.850006,307.540009,311.480011,307.947266,2642300
2023-06-13,315.320007,317.470001,313.390015,315.160004,311.585510,3981900
2023-06-14,316.019989,318.359985,313.299988,315.049988,311.476776,2421100
2023-06-15,319.179993,325.079987,315.339996,323.769989,320.097870,3288900
2023-06-16,325.920013,327.929993,319.089996,319.540009,315.915833,5266300
2023-06-20,317.260010,320.640015,315.010010,317.399994,313.800110,3349400
2023-06-21,316.489990,317.670013,313.089996,313.200012,309.647766,3121400
2023-06-22,298.209991,307.570007,296.000000,307.250000,303.765228,4889000
2023-06-23,300.019989,302.690002,297.700012,298.429993,295.045258,4233800
2023-06-26,296.589996,300.859985,296.510010,297.410004,294.036865,2826900
2023-06-27,297.119995,301.029999,296.109985,300.809998,297.398254,2054200
2023-06-28,300.480011,302.149994,297.779999,301.720001,298.297974,2061700
2023-06-29,301.399994,310.570007,300.100006,308.329987,304.833008,2739400
2023-06-30,309.489990,312.690002,308.329987,308.579987,305.080139,2668500
2023-07-03,308.000000,311.269989,307.410004,310.970001,307.443054,1172800
2023-07-05,306.140015,311.980011,305.029999,309.899994,306.385193,1924800
2023-07-06,306.920013,308.450012,304.649994,307.970001,304.477081,1375800
2023-07-07,306.730011,311.260010,305.279999,305.760010,302.292145,1902800
2023-07-10,305.209991,309.109985,304.119995,308.450012,304.951630,1684500
2023-07-11,308.450012,310.799988,305.829987,309.720001,306.207245,1347800
2023-07-12,312.339996,314.679993,310.750000,313.880005,311.446289,1788200
2023-07-13,315.000000,316.489990,314.279999,315.209991,312.765961,1822700
2023-07-14,316.070007,317.890015,315.010010,315.769989,313.321625,1295500
2023-07-17,315.679993,320.730011,315.010010,319.779999,317.300537,2033400
2023-07-18,319.519989,322.739990,319.399994,322.429993,319.929993,1574500
2023-07-19,323.000000,324.190002,318.700012,318.799988,316.328094,2170900
2023-07-20,316.250000,316.250000,310.720001,312.470001,310.047211,2097000
2023-07-21,313.190002,316.489990,312.549988,314.799988,312.359131,3265700
