Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,198.220001,198.929993,195.529999,196.490005,196.233673,5340800
2023-04-04,198.149994,198.699997,196.619995,197.199997,196.942734,4659100
2023-04-05,198.000000,198.289993,193.729996,195.309998,195.055206,3953700
2023-04-06,194.000000,194.070007,189.600006,192.550003,192.298813,6304700
2023-04-10,190.589996,192.550003,189.279999,191.490005,191.240189,5263800
2023-04-11,189.059998,190.460007,187.309998,188.889999,188.643585,4907700
2023-04-12,190.300003,191.889999,189.529999,190.320007,190.071716,5033400
2023-04-13,190.449997,194.380005,190.449997,194.020004,193.766891,4716400
2023-04-14,191.850006,195.169998,191.190002,194.649994,194.396057,5073800
2023-04-17,195.160004,197.520004,195.029999,197.080002,196.822891,5413500
2023-04-18,199.080002,200.119995,197.059998,198.500000,198.241043,4679000
2023-04-19,196.300003,199.070007,195.729996,198.919998,198.660492,3665100
2023-04-20,197.179993,200.080002,196.820007,197.509995,197.252335,3620000
2023-04-21,197.029999,199.119995,196.470001,199.029999,198.770355,4860100
2023-04-24,198.449997,198.770004,194.059998,194.919998,194.665710,4449700
2023-04-25,193.970001,194.119995,190.630005,190.669998,190.421249,5010000
2023-04-26,192.619995,194.369995,190.570007,191.520004,191.270157,4007600
2023-04-27,194.169998,197.509995,193.270004,195.940002,195.684387,4794400
2023-04-28,196.149994,198.649994,195.270004,198.369995,198.111206,4094600
2023-05-01,197.759995,199.050003,197.119995,197.789993,197.531967,2882900
2023-05-02,198.020004,198.410004,192.929993,193.839996,193.587112,6051000
2023-05-03,194.210007,195.789993,192.559998,192.610001,192.358734,3779900
2023-05-04,191.899994,194.559998,190.759995,192.380005,192.129028,4386500
2023-05-05,193.949997,198.110001,193.250000,197.589996,197.332230,4282800
2023-05-08,198.720001,200.500000,196.080002,197.899994,197.641815,4169400
2023-05-09,196.779999,203.800003,196.779999,201.179993,200.917542,6996800
2023-05-10,204.940002,206.279999,203.039993,204.850006,204.582764,6535600
2023-05-11,202.910004,203.800003,198.550003,203.470001,203.204559,5366300
2023-05-12,203.429993,203.960007,200.130005,201.809998,201.546722,4733000
2023-05-15,203.750000,205.399994,202.479996,203.330002,203.064743,4518200
2023-05-16,201.929993,205.669998,201.750000,204.559998,204.293137,4423200
2023-05-17,206.500000,209.490005,204.800003,209.380005,209.106857,5772200
2023-05-18,209.500000,213.880005,209.330002,213.320007,213.041718,5165500
